-20	1880
-11	1881
-12	1882
-20	1883
-30	1884
-32	1885
-33	1886
-36	1887
-19	1888
-12	1889
-38	1890
-25	1891
-28	1892
-33	1893
-33	1894
-24	1895
-13	1896
-13	1897
-29	1898
-20	1899
-10	1900
-16	1901
-30	1902
-39	1903
-50	1904
-30	1905
-24	1906
-41	1907
-45	1908
-49	1909
-44	1910
-43	1911
-37	1912
-36	1913
-17	1914
-13	1915
-34	1916
-45	1917
-29	1918
-28	1919
-27	1920
-19	1921
-28	1922
-25	1923
-26	1924
-22	1925
-10	1926
-21	1927
-20	1928
-36	1929
-15	1930
-11	1931
-17	1932
-30	1933
-14	1934
-21	1935
-16	1936
-4	1937
-4	1938
-3	1939
11	1940
18	1941
5	1942
7	1943
20	1944
8	1945
-7	1946
-4	1947
-11	1948
-11	1949
-18	1950
-6	1951
1	1952
7	1953
-14	1954
-14	1955
-20	1956
5	1957
7	1958
3	1959
-2	1960
5	1961
4	1962
7	1963
-20	1964
-11	1965
-5	1966
-2	1967
-8	1968
7	1969
3	1970
-9	1971
1	1972
16	1973
-8	1974
-2	1975
-11	1976
17	1977
6	1978
16	1979
27	1980
33	1981
13	1982
31	1983
16	1984
12	1985
18	1986
33	1987
41	1988
29	1989
44	1990
41	1991
22	1992
24	1993
31	1994
44	1995
33	1996
47	1997
62	1998
40	1999
40	2000
53	2001
62	2002
61	2003
53	2004
67	2005
62	2006
64	2007
52	2008
64	2009
70	2010
58	2011
62	2012
64	2013
73	2014
87	2015
100	2016
